candidateId,gateName,actual,operator,required,passed
v42_breakout_trap_second_entry_long_4h_v1,sampleGate,2775,>=,80,True
v42_breakout_trap_second_entry_long_4h_v1,developmentProfitFactor,0.9694144655154139,>=,1.08,False
v42_breakout_trap_second_entry_long_4h_v1,developmentAverageNetR,-0.014335799934034369,>=,0.03,False
v42_breakout_trap_second_entry_long_4h_v1,positiveDevelopmentMonthRatio,0.48717948717948717,>=,0.6,False
v42_breakout_trap_second_entry_long_4h_v1,stress1_5xPositive,0.9229419751190415,>,1.0,False
v42_breakout_trap_second_entry_long_4h_v1,mechanismIncrementAverageNetR,0.08333867137903891,>,0.0,True
v42_breakout_trap_second_entry_long_4h_v1,mechanismIncrementTotalNetR,740.6371809745102,>,0.0,True
v42_breakout_trap_second_entry_short_4h_v1,sampleGate,2666,>=,80,True
v42_breakout_trap_second_entry_short_4h_v1,developmentProfitFactor,0.8532024592236395,>=,1.08,False
v42_breakout_trap_second_entry_short_4h_v1,developmentAverageNetR,-0.07541773779604377,>=,0.03,False
v42_breakout_trap_second_entry_short_4h_v1,positiveDevelopmentMonthRatio,0.41025641025641024,>=,0.6,False
v42_breakout_trap_second_entry_short_4h_v1,stress1_5xPositive,0.8113976386506342,>,1.0,False
v42_breakout_trap_second_entry_short_4h_v1,mechanismIncrementAverageNetR,0.030340638304150777,>,0.0,True
v42_breakout_trap_second_entry_short_4h_v1,mechanismIncrementTotalNetR,740.1858583274787,>,0.0,True
v42_spike_pullback_continuation_long_1h_v1,sampleGate,966,>=,150,True
v42_spike_pullback_continuation_long_1h_v1,developmentProfitFactor,0.6812036035471263,>=,1.08,False
v42_spike_pullback_continuation_long_1h_v1,developmentAverageNetR,-0.19187502108200774,>=,0.03,False
v42_spike_pullback_continuation_long_1h_v1,positiveDevelopmentMonthRatio,0.3974358974358974,>=,0.6,False
v42_spike_pullback_continuation_long_1h_v1,stress1_5xPositive,0.5851682434114334,>,1.0,False
v42_spike_pullback_continuation_long_1h_v1,mechanismIncrementAverageNetR,-0.11359450962171073,>,0.0,False
v42_spike_pullback_continuation_long_1h_v1,mechanismIncrementTotalNetR,855.5446905223498,>,0.0,True
v42_spike_pullback_continuation_short_1h_v1,sampleGate,765,>=,150,True
v42_spike_pullback_continuation_short_1h_v1,developmentProfitFactor,1.2128347868718607,>=,1.08,True
v42_spike_pullback_continuation_short_1h_v1,developmentAverageNetR,0.10848993551582303,>=,0.03,True
v42_spike_pullback_continuation_short_1h_v1,positiveDevelopmentMonthRatio,0.40540540540540543,>=,0.6,False
v42_spike_pullback_continuation_short_1h_v1,stress1_5xPositive,1.0554387704401949,>,1.0,True
v42_spike_pullback_continuation_short_1h_v1,mechanismIncrementAverageNetR,0.1734260180750561,>,0.0,True
v42_spike_pullback_continuation_short_1h_v1,mechanismIncrementTotalNetR,929.8911894071219,>,0.0,True
